date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,1,SPY,SPDR S&amp;P 500 ETF Trust,580,2317,2,373
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,2,MU,Micron Technology,437,2207,1,372
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,3,MSFT,Microsoft,294,1030,3,272
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,4,QQQ,Invesco QQQ ETF,269,1058,6,146
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,5,MRVL,Marvell Technology Group,163,584,4,177
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,6,NVDA,NVIDIA,161,599,5,160
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,7,SPCX,Collaborative Investment Series Trust - The SPAC and New Issue ETF,119,2484,14,54
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,8,AAPL,Apple,106,264,8,115
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,9,DTE,DTE Energy,100,493,10,85
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,10,AVGO,Broadcom,87,281,7,112
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,11,ASTS,AST SpaceMobile,69,450,17,41
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,12,META,Meta Platforms (Facebook),62,131,12,61
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,13,TSLA,Tesla,61,514,9,107
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,14,RDDT,Reddit,59,261,26,29
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,15,SNDK,Sandisk,54,189,42,25
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,16,NBIS,Nebius Group,53,128,20,59
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,17,AM,Antero Midstream,52,101,13,67
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,18,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,52,112,19,39
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,19,NOW,ServiceNow,51,175,24,36
2026-06-09,2026-06-09T22:57:00Z,apewisdom:all-stocks,20,OPEN,Opendoor,50,239,91,13
