date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,1,SPY,SPDR S&amp;P 500 ETF Trust,590,2442,1,574
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,2,ORCL,Oracle,312,1715,33,25
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,3,MU,Micron Technology,256,1022,2,436
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,4,QQQ,Invesco QQQ ETF,205,2225,4,267
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,5,MSFT,Microsoft,192,683,3,295
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,6,NVDA,NVIDIA,158,1292,6,161
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,7,SPCX,Collaborative Investment Series Trust - The SPAC and New Issue ETF,137,1996,8,121
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,8,SMCI,Supermicro,113,1519,152,21
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,9,DTE,DTE Energy,111,855,10,99
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,10,AVGO,Broadcom,76,312,9,87
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,11,META,Meta Platforms (Facebook),69,214,11,62
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,12,TSLA,Tesla,67,211,12,60
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,13,MRVL,Marvell Technology Group,65,199,5,163
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,14,HOOD,Robinhood,60,137,44,17
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,15,AM,Antero Midstream,57,167,20,52
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,16,AMD,AMD,56,1547,21,47
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,17,VOO,Vanguard S&amp;P 500 ETF,43,109,25,39
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,18,SNDK,Sandisk,43,92,18,54
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,19,AAPL,Apple,38,63,7,105
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,20,GOOGL,Alphabet (Google),38,114,30,24
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,21,NOW,ServiceNow,36,120,19,51
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,22,GLD,SSgA SPDR Gold Shares,35,90,90,11
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,23,SOXS,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bear 3X Share,34,500,26,39
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,24,GOOG,Alphabet (Google),33,195,28,27
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,25,IT,Gartner,32,172,36,25
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,26,ASTS,AST SpaceMobile,32,97,15,69
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,27,RKLB,Rocket Lab USA,32,108,23,46
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,28,NBIS,Nebius Group,32,57,13,53
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,29,LFVN,Lifevantage,29,609,29,27
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,30,USO,United States Commodity Funds LLC - United States Oil Fund,28,58,54,20
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,31,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,27,70,22,52
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,32,YOU,CLEAR Secure,26,105,27,32
2026-06-10,2026-06-10T23:06:51Z,apewisdom:all-stocks,33,ADBE,Adobe,25,64,63,17
