date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,1,MU,Micron Technology,517,3514,1,543
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,418,3305,2,397
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,3,MSFT,Microsoft,264,919,3,342
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,4,META,Meta Platforms (Facebook),253,837,6,191
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,5,NVDA,NVIDIA,170,394,4,232
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,6,SNDK,Sandisk,119,1244,5,177
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,7,SPCX,SpaceX,113,435,8,108
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,8,QQQ,Invesco QQQ ETF,113,310,7,135
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,9,DTE,DTE Energy,98,2024,9,81
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,10,MSTR,MicroStrategy,77,145,57,19
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,11,VOO,Vanguard S&amp;P 500 ETF,63,1513,12,54
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,12,TSLA,Tesla,58,143,14,52
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,13,NFLX,Netflix,58,239,33,26
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,14,RKLB,Rocket Lab USA,45,163,20,35
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,15,AAPL,Apple,44,138,44,24
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,16,ASTS,AST SpaceMobile,40,651,16,42
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,17,GOOG,Alphabet (Google),39,104,15,47
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,18,EU,enCore Energy,38,111,39,24
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,19,AMD,AMD,35,117,11,65
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,20,HOOD,Robinhood,35,111,96,6
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,21,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,30,95,19,35
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,22,GOOGL,Alphabet (Google),30,82,22,29
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,23,ES,Eversource Energy,29,132,69,9
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,24,WEN,Wendy’s Company,29,128,13,46
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,25,TSM,TSMC,27,99,85,6
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,26,AMZN,Amazon,23,5,25,31
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,27,ORCL,Oracle,23,60,18,32
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,28,RDDT,Reddit,21,59,73,12
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,29,MRVL,Marvell Technology Group,20,41,55,11
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,30,BE,Bloom Energy,20,990,41,19
2026-07-10,2026-07-10T22:31:38Z,apewisdom:all-stocks,31,NBIS,Nebius Group,20,47,10,57
