date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,1,MU,Micron Technology,534,2123,1,330
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,2,SNDK,Sandisk,399,1429,4,217
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,3,SPY,SPDR S&amp;P 500 ETF Trust,378,1321,2,314
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,4,MSFT,Microsoft,214,1424,6,161
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,5,SPCX,SpaceX,205,4106,5,186
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,6,NVDA,NVIDIA,203,677,3,276
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,7,QQQ,Invesco QQQ ETF,170,712,7,161
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,8,STX,Seagate Technology,103,325,114,5
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,9,AAPL,Apple,95,496,9,100
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,10,AMD,AMD,94,1641,11,69
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,11,TSLA,Tesla,84,596,8,105
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,12,BE,Bloom Energy,79,1686,51,10
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,13,META,Meta Platforms (Facebook),70,284,14,51
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,14,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,55,127,30,19
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,15,AMZN,Amazon,54,224,15,48
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,16,DTE,DTE Energy,54,184,13,57
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,17,NBIS,Nebius Group,52,242,20,34
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,18,GLW,Corning,49,90,75,6
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,19,RKLB,Rocket Lab USA,47,322,16,46
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,20,GOOG,Alphabet (Google),44,183,10,65
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,21,ASML,ASML,41,105,12,71
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,22,ASTS,AST SpaceMobile,38,107,19,39
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,23,NOW,ServiceNow,37,159,18,39
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,24,HOOD,Robinhood,37,146,38,18
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,25,HBM,Hudbay Minerals,34,155,25,13
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,26,AM,Antero Midstream,33,181,35,14
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,27,KO,Coca-Cola,32,74,134,3
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,28,PLTR,Palantir,32,44,42,17
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,29,INTC,Intel,31,71,23,26
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,30,MRVL,Marvell Technology Group,31,89,50,12
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,31,VOO,Vanguard S&amp;P 500 ETF,31,163,37,16
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,32,IBM,IBM,30,114,31,13
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,33,GOOGL,Alphabet (Google),30,81,17,34
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,34,ORCL,Oracle,25,32,27,15
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,35,IT,Gartner,23,113,28,16
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,36,RDDT,Reddit,22,48,22,31
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,37,UPS,United Parcel Service,21,38,145,4
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,38,JPM,JPMorgan Chase,21,1861,76,4
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,39,TSM,TSMC,20,39,74,6
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,40,APLD,Applied Blockchain,20,50,39,48
2026-07-28,2026-07-28T22:33:37Z,apewisdom:all-stocks,41,NFLX,Netflix,19,49,90,6
