date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,1,MU,Micron Technology,119,652,1,760
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,75,465,2,410
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,3,DTE,DTE Energy,65,6068,10,101
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,4,QQQ,Invesco QQQ ETF,45,449,5,214
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,5,SPCX,SpaceX,43,743,4,310
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,6,EU,enCore Energy,39,337,77,9
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,7,NVDA,NVIDIA,33,482,11,109
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,8,MSFT,Microsoft,27,189,8,108
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,9,SNDK,Sandisk,27,154,6,219
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,10,META,Meta Platforms (Facebook),25,254,12,94
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,11,VOO,Vanguard S&amp;P 500 ETF,21,249,14,79
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,12,AMD,AMD,18,61,13,83
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,13,IBM,IBM,17,86,23,46
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,14,HBM,Hudbay Minerals,17,240,44,20
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,15,TQQQ,ProShares Trust - ProShares UltraPro QQQ,17,241,56,13
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,16,GOOG,Alphabet (Google),16,166,17,37
2026-07-18,2026-07-18T22:13:26Z,apewisdom:all-stocks,17,RKLB,Rocket Lab USA,14,183,18,61
