date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,1,NVDA,NVIDIA,320,1497,1,338
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,172,443,2,230
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,3,MU,Micron Technology,113,230,3,167
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,4,DKS,Dick's Sporting Goods,97,251,110,3
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,5,SNDK,Sandisk,85,372,4,104
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,6,QQQ,Invesco QQQ ETF,70,150,7,65
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,7,MSTR,MicroStrategy,68,137,6,92
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,8,AVGO,Broadcom,56,113,21,26
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,9,MRNA,Moderna,53,445,11,49
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,10,DTE,DTE Energy,46,94,8,61
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,11,INTU,Intuit,41,80,221,6
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,12,ASTS,AST SpaceMobile,33,84,31,34
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,13,GOOGL,Alphabet (Google),33,76,13,31
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,14,RDDT,Reddit,33,80,22,19
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,15,META,Meta Platforms (Facebook),32,58,12,51
2026-08-25,2026-08-25T21:52:37Z,apewisdom:all-stocks,16,NBIS,Nebius Group,32,617,9,49
