date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,1,SNDK,Sandisk,954,3684,6,216
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,726,3315,1,850
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,3,AMD,AMD,462,1497,4,1009
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,4,SPCX,SpaceX,453,2389,5,551
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,5,MU,Micron Technology,348,1842,2,449
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,6,NVDA,NVIDIA,254,1126,10,195
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,7,QQQ,Invesco QQQ ETF,159,748,8,184
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,8,WDC,Western Digital,156,409,45,25
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,9,GOOGL,Alphabet (Google),127,318,21,41
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,10,DTE,DTE Energy,126,589,9,134
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,11,GOOG,Alphabet (Google),103,421,26,37
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,12,APP,AppLovin,102,219,210,6
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,13,MSFT,Microsoft,87,742,7,168
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,14,PLTR,Palantir,71,772,3,293
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,15,VOO,Vanguard S&amp;P 500 ETF,71,369,15,62
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,16,AAPL,Apple,65,134,12,49
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,17,AMZN,Amazon,52,105,14,63
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,18,RKLB,Rocket Lab USA,51,131,25,46
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,19,TSLA,Tesla,45,612,22,43
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,20,META,Meta Platforms (Facebook),45,82,16,52
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,21,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,40,1201,11,99
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,22,NOW,ServiceNow,36,96,36,21
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,23,RDDT,Reddit,33,67,13,59
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,24,AM,Antero Midstream,32,88,46,25
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,25,FIG,Figma,32,66,120,5
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,26,SHOP,Shopify,30,75,128,8
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,27,ASTS,AST SpaceMobile,30,52,19,61
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,28,YOU,CLEAR Secure,25,86,37,28
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,29,NBIS,Nebius Group,25,72,17,49
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,30,UBER,Uber,23,76,84,17
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,31,VTI,Vanguard Total Stock Market ETF,23,247,60,19
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,32,CELH,Celsius Holdings,21,34,152,5
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,33,LLY,Eli Lilly,20,36,77,11
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,34,AGI,Alamos Gold,19,114,41,17
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,35,UP,Wheels Up,19,334,44,23
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,36,ES,Eversource Energy,18,31,32,31
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,37,IP,International Paper,18,83,192,1
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,38,IT,Gartner,18,77,29,33
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,39,TQQQ,ProShares Trust - ProShares UltraPro QQQ,17,35,79,11
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,40,SOUN,SoundHound AI,17,18,751,2
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,41,WEN,Wendy’s Company,16,42,56,10
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,42,CC,Chemours,16,55,38,23
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,43,VT,"Vanguard Group, Inc. - Vanguard Total World Stock ETF",16,89,67,12
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,44,RDW,Redwire,14,28,697,1
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,45,IONQ,IonQ,14,30,116,6
2026-08-05,2026-08-05T22:34:09Z,apewisdom:all-stocks,46,IBKR,Interactive Brokers,13,26,93,6
