date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,1,WEN,Wendy’s Company,101,877,3,134
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,99,936,2,153
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,3,MU,Micron Technology,98,398,1,215
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,4,MSFT,Microsoft,87,375,4,82
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,5,DTE,DTE Energy,50,209,6,94
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,6,NVDA,NVIDIA,36,407,5,81
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,7,QQQ,Invesco QQQ ETF,36,418,8,43
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,8,SPCX,SpaceX,20,435,7,57
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,9,SNDK,Sandisk,18,348,9,39
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,10,AMD,AMD,16,26,16,28
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,11,TTWO,Take 2 Interactive,16,24,53,5
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,12,MSTR,MicroStrategy,16,53,10,37
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,13,YOU,CLEAR Secure,16,40,33,7
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,14,ES,Eversource Energy,14,28,37,12
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,15,META,Meta Platforms (Facebook),14,123,36,14
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,16,RR,Richtech Robotics,14,22,46,8
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,17,BB,BlackBerry,13,31,13,22
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,18,SNAP,Snap,12,20,77,4
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,19,VOO,Vanguard S&amp;P 500 ETF,12,27,26,18
2026-06-28,2026-06-28T22:34:40Z,apewisdom:all-stocks,20,SLS,Sellas Life Sciences,12,70,22,15
