date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,1,MU,Micron Technology,542,1843,1,743
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,359,1152,4,328
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,3,WEN,Wendy’s Company,252,813,3,359
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,4,MSFT,Microsoft,240,726,2,538
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,5,AMD,AMD,152,782,20,33
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,6,NKE,Nike,146,617,78,7
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,7,SNDK,Sandisk,142,417,6,125
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,8,MSTR,MicroStrategy,125,13840,10,98
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,9,NVDA,NVIDIA,110,308,5,131
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,10,ASTS,AST SpaceMobile,98,415,7,149
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,11,SPCX,SpaceX,94,233,12,111
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,12,QQQ,Invesco QQQ ETF,89,265,8,120
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,13,SLS,Sellas Life Sciences,75,305,14,104
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,14,RKLB,Rocket Lab USA,67,178,9,112
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,15,NBIS,Nebius Group,55,245,30,26
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,16,DTE,DTE Energy,54,1999,16,56
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,17,TSLA,Tesla,51,107,11,130
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,18,BB,BlackBerry,44,77,15,70
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,19,BE,Bloom Energy,43,93,44,15
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,20,SMCI,Supermicro,37,210,21,74
2026-06-30,2026-06-30T22:49:30Z,apewisdom:all-stocks,21,META,Meta Platforms (Facebook),35,83,28,28
