date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,1,NVDA,NVIDIA,346,1123,1,81
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,232,887,2,45
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,3,MU,Micron Technology,168,629,6,24
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,4,SNDK,Sandisk,105,442,7,20
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,5,MSTR,MicroStrategy,91,2625,20,7
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,6,SLS,Sellas Life Sciences,76,202,9,24
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,7,QQQ,Invesco QQQ ETF,68,134,13,11
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,8,DTE,DTE Energy,62,280,3,25
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,9,META,Meta Platforms (Facebook),52,112,5,20
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,10,MRNA,Moderna,50,79,17,7
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,11,NBIS,Nebius Group,50,296,29,8
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,12,SPCX,SpaceX,49,1519,25,6
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,13,ASTS,AST SpaceMobile,35,1456,85,3
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,14,TSLA,Tesla,33,93,58,3
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,15,AM,Antero Midstream,33,100,52,2
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,16,MSFT,Microsoft,32,80,10,12
2026-08-24,2026-08-24T21:52:56Z,apewisdom:all-stocks,17,GOOGL,Alphabet (Google),32,76,23,10
