date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,1,SPY,SPDR S&amp;P 500 ETF Trust,302,812,1,252
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,2,LULU,lululemon athletica,267,2434,134,7
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,3,AVGO,Broadcom,205,494,2,613
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,4,NVDA,NVIDIA,173,1111,3,242
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,5,MU,Micron Technology,128,284,5,138
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,6,TSLA,Tesla,121,336,25,32
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,7,QQQ,Invesco QQQ ETF,109,251,9,65
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,8,META,Meta Platforms (Facebook),72,127,7,67
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,9,ZS,Zscaler,70,141,132,3
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,10,HOOD,Robinhood,63,544,50,15
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,11,DTE,DTE Energy,62,185,15,42
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,12,SPCX,SpaceX,62,119,21,40
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,13,PL,Planet Labs,57,92,57,11
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,14,HPE,Hewlett Packard Enterprise,55,117,13,113
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,15,PLTR,Palantir,51,102,19,48
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,16,MSTR,MicroStrategy,51,96,185,2
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,17,PATH,UiPath,49,72,676,1
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,18,SNDK,Sandisk,48,107,12,51
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,19,SNOW,Snowflake,46,134,36,101
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,20,MSFT,Microsoft,45,337,22,36
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,21,DELL,Dell,35,104,4,118
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,22,AAPL,Apple,33,56,17,43
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,23,AMD,AMD,33,92,29,30
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,24,RKLB,Rocket Lab USA,31,90,18,38
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,25,RDDT,Reddit,31,49,14,49
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,26,NKE,Nike,28,83,55,12
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,27,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,28,57,37,18
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,28,VOO,Vanguard S&amp;P 500 ETF,28,56,24,34
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,29,GOOG,Alphabet (Google),26,46,23,36
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,30,TSM,TSMC,26,163,126,4
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,31,BE,Bloom Energy,26,78,35,14
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,32,IREN,Iris Energy,26,134,41,15
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,33,AMZN,Amazon,23,31,26,31
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,34,HTZ,Hertz,23,26,11,63
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,35,AGI,Alamos Gold,21,455,507,1
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,36,ASTS,AST SpaceMobile,21,56,6,85
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,37,CC,Chemours,20,246,87,3
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,38,NBIS,Nebius Group,19,56,27,32
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,39,CRDO,Credo Technology,18,31,8,57
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,40,IOT,Samsara,17,24,734,1
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,41,ORCL,Oracle,16,24,78,8
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,42,NOW,ServiceNow,16,29,97,11
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,43,AM,Antero Midstream,16,29,10,63
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,44,YOU,CLEAR Secure,16,38,54,17
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,45,GOOGL,Alphabet (Google),16,38,16,43
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,46,GPRO,GoPro,15,38,32,27
2026-09-03,2026-09-03T23:24:38Z,apewisdom:all-stocks,47,ES,Eversource Energy,14,171,34,17
