date,fetched_at,source,rank,ticker,name,mentions,upvotes,rank_24h_ago,mentions_24h_ago
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,1,MU,Micron Technology,545,5044,1,474
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,2,SPY,SPDR S&amp;P 500 ETF Trust,395,1204,2,423
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,3,MSFT,Microsoft,349,4394,7,124
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,4,NVDA,NVIDIA,233,3639,3,257
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,5,META,Meta Platforms (Facebook),203,3942,16,65
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,6,SNDK,Sandisk,181,727,4,151
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,7,QQQ,Invesco QQQ ETF,137,302,5,147
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,8,SPCX,SpaceX,106,449,6,135
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,9,DTE,DTE Energy,79,228,8,122
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,10,AMD,AMD,63,265,19,43
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,11,NBIS,Nebius Group,58,158,9,92
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,12,TSLA,Tesla,52,119,14,50
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,13,VOO,Vanguard S&amp;P 500 ETF,52,340,20,63
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,14,GOOG,Alphabet (Google),51,204,22,26
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,15,WEN,Wendy’s Company,47,80,10,71
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,16,ASTS,AST SpaceMobile,41,114,26,21
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,17,SOXL,Direxion Shares ETF Trust - Direxion Daily Semiconductor Bull 3X Share,36,75,18,46
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,18,IT,Gartner,35,102,25,24
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,19,AVGO,Broadcom,34,108,11,64
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,20,RKLB,Rocket Lab USA,34,124,15,55
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,21,AMZN,Amazon,33,3011,29,12
2026-07-09,2026-07-09T22:49:15Z,apewisdom:all-stocks,22,ORCL,Oracle,31,107,23,34
